index,Latitude,Longitude,City,Country,Temperature,Cloudiness,Humidity,Wind Speed,Updated Latitude
0,7.15,-41.01,carutapera,br,80.7,64,86,6.33,-1.2
1,-16.08,16.01,ondjiva,ao,78.49,48,19,14.16,-17.07
2,13.22,-89.95,acajutla,sv,88.54,20,59,6.93,13.59
3,45.65,42.81,oktyabrskoye,ru,-1.21,56,79,4.88,56.73
4,25.78,72.69,samdari,in,66.66,0,56,4.09,25.81
5,-41.35,178.23,otane,nz,62.47,92,84,4.88,-39.89
6,44.63,37.04,anapskaya,ru,26.6,76,100,6.71,44.9
8,24.56,78.78,mahroni,in,66.57,0,60,2.75,24.59
9,13.88,-1.08,djibo,bf,85.33,0,24,10.47,14.1
10,-35.38,137.21,victor harbor,au,66.2,0,68,4.7,-35.55
11,37.16,119.43,hanting,cn,41.91,92,100,16.84,30.92
12,29.47,111.93,nanzhou,cn,48.3,80,100,14.5,29.37
13,48.01,-58.1,stephenville crossing,ca,33.8,40,80,5.82,48.5
14,-20.44,-69.23,iquique,cl,77,0,53,19.46,-20.22
15,-2.19,48.49,mogadishu,so,80.88,0,97,13.38,2.04
16,-29.13,41.82,beloha,mg,77.05,76,86,3.76,-25.17
17,52.55,84.41,bystryy istok,ru,2.58,44,75,17.96,52.37
18,35.54,4.23,tazmalt,dz,62.6,75,72,3.36,36.39
19,7.47,-73.22,el playon,co,89.6,40,49,4.7,3.24
20,27.6,110.98,lengshuijiang,cn,49.69,92,99,4.76,27.66
21,-15.58,162.38,luganville,vu,77.73,92,100,5.66,-15.51
22,43.18,30.42,sfantu gheorghe,ro,18.5,64,85,4.7,44.65
23,-13.17,-70.26,macusani,pe,52.08,92,100,1.19,-14.07
24,13.21,35.49,doka,sd,71.61,0,20,11.81,13.52
25,-0.35,119.2,palu,id,65.89,56,92,1.63,-0.9
26,5.09,20.05,kouango,cf,77.28,56,75,7.45,4.99
27,44.94,13.96,pula,hr,34.92,75,93,8.05,44.87
28,34.81,69.98,mehtar lam,af,57.2,75,93,1.97,34.67
29,-14.77,54.88,antalaha,mg,77.32,48,94,9.57,-14.9
30,-23.57,16.03,rehoboth,na,76.87,68,32,11.48,-23.31
31,56.06,-111.76,athabasca,ca,20.31,68,81,15.84,54.72
33,-4.32,106.15,metro,id,73.45,44,100,3.42,-5.11
34,-8.89,140.13,merauke,id,76.15,8,100,5.77,-8.49
35,41.16,56.37,gazanjyk,tm,48.52,88,91,12.48,39.24
36,36.22,49.5,takestan,ir,42.8,0,75,2.24,36.07
37,-28.77,139.9,broken hill,au,58.11,20,79,7.9,-31.97
38,33.42,-80.36,summerville,us,76.55,40,57,13.87,33.02
39,28.95,89.48,gasa,bt,-4.76,8,51,1.07,27.91
40,49.57,136.48,troitskoye,ru,4.47,48,69,11.48,52.98
41,60.51,136.39,solnechnyy,ru,6.45,76,78,9.69,50.72
42,47.95,-110.76,great falls,us,31.95,1,47,12.75,47.5
44,-31.45,-54.69,dom pedrito,br,91.4,40,38,6.93,-30.98
45,51.4,26.99,rokytne,ua,7.48,80,83,9.69,51.27
46,61.17,-0.01,lerwick,gb,27.5,75,86,5.82,60.15
47,-11.86,54.07,sambava,mg,81.6,24,100,16.4,-14.27
48,60.9,-153.36,kenai,us,4.87,1,66,6.93,60.55
49,37.74,44.48,yuksekova,tr,41,20,74,4.7,37.57
50,8.14,13.84,tchollire,cm,74.8,0,50,4.09,8.4
51,57.18,89.98,novobirilyussy,ru,1.05,64,80,5.66,56.95
54,-11.21,45.8,koungou,yt,82.4,48,78,5.82,-12.73
55,6.8,-96.4,champerico,gt,91.4,40,43,18.34,14.3
56,58.03,110,alekseyevsk,ru,-19.88,0,55,2.98,57.84
57,63.53,33.53,segezha,ru,12.07,92,88,2.98,63.74
58,33.12,101.39,linxia,cn,12.52,0,54,2.19,35.6
59,43.74,10.24,viareggio,it,30.22,75,100,14.99,43.87
60,30.97,57.12,ravar,ir,36.28,0,50,2.08,31.27
61,33.05,109,ankang,cn,36.64,88,96,2.19,32.73
62,8.9,5.05,lafiagi,ng,84.97,32,45,8.23,8.85
63,42.89,118.78,chifeng,cn,26.02,8,49,15.73,42.27
64,29.36,-107.88,madera,mx,57.75,0,43,3.42,29.2
66,71.54,17.85,tromso,no,32,90,100,17.22,69.65
68,48.47,92.26,ulaangom,mn,11.58,0,89,8.68,49.98
70,78.46,26.42,honningsvag,no,26.35,75,79,8.05,70.98
72,52.22,-46.42,bonavista,ca,33.45,92,97,2.75,48.65
73,21.33,77.6,achalpur,in,65.62,0,59,2.42,21.25
74,42.29,32.31,zonguldak,tr,23.01,20,100,3.87,41.25
75,46.94,12.03,brunico,it,27.66,40,92,1.12,46.8
76,-15.93,33.38,tete,mz,71.25,92,100,3.65,-16.16
77,53.08,142.92,tungor,ru,3.97,64,80,13.04,53.39
78,35.28,-113.58,kingman,us,60.33,20,23,13.87,35.19
79,41.38,59.84,dasoguz,tm,36.5,90,94,11.41,41.84
80,43.4,-115.21,mountain home,us,38.86,75,100,23.04,43.13
81,62.48,40.75,puksoozero,ru,8.07,92,82,4.65,62.59
82,54.77,19.39,baltiysk,ru,12.2,90,85,6.71,54.66
83,40.5,-14.83,peniche,pt,51.8,20,71,9.17,39.36
84,25.61,25.25,jalu,ly,59.68,0,56,8.23,29.03
86,-6.9,-39.85,assare,br,78.67,36,77,3.09,-6.87
87,54.16,-116.89,edson,ca,28.4,75,50,18.34,53.59
88,65.54,130.67,batagay-alyta,ru,-14.03,64,78,2.75,67.8
89,53.53,114.16,bagdarin,ru,-14.17,36,54,2.75,54.44
90,-36.29,155.01,kiama,au,64.4,75,77,4.7,-34.67
92,64.11,-22.77,keflavik,is,33.1,0,100,8.05,64
93,27.83,104.32,wufeng,cn,45.15,92,91,2.64,27.44
94,38.02,-122.21,benicia,us,53.1,75,62,14.99,38.05
95,37.28,-121.15,patterson,us,52.52,90,87,28.86,37.47
96,-24.93,148.25,emerald,au,75.52,32,88,4.21,-23.53
97,21.77,84.76,deogarh,in,62.29,0,73,1.97,21.53
98,59.47,116.43,kropotkin,ru,25.08,44,85,5.1,45.43
99,25.58,-89.65,houma,us,81.09,75,61,14.99,29.6
100,-20.35,-40.87,domingos martins,br,87.8,40,58,18.34,-20.36
101,8.33,-2.47,bondoukou,ci,70.57,56,98,3.76,8.04
102,46.77,-111.97,helena,us,33.8,1,47,8.12,46.59
103,7.27,-89.62,santa cruz,cr,91.4,20,36,14.99,10.26
106,20.69,112.48,yangjiang,cn,67.65,92,95,3.65,21.85
107,22.19,65.84,keti bandar,pk,75.48,0,96,9.24,24.14
108,30,115.78,wuxue,cn,47.44,92,100,9.8,29.85
109,52.34,-119.77,chase,ca,39.2,75,64,13.87,50.82
110,35.4,-78.28,smithfield,us,57.36,1,52,3.42,41.92
111,34.03,-6.18,kenitra,ma,60.8,40,82,20.8,34.26
113,0.27,1.54,mumford,gh,79.62,0,82,7.45,5.26
114,58.46,83.59,kolpashevo,ru,-20.2,0,58,5.77,58.31
115,55.17,66.28,lebyazhye,ru,5,0,84,2.24,59.96
116,41.41,-93.31,indianola,us,48.2,1,29,10.29,40.24
117,49.98,-124.01,powell river,ca,43.32,75,65,13.87,49.84
118,53.76,-128.7,kitimat,ca,33.8,90,64,17.22,54.02
119,40.34,-95.52,maryville,us,49.53,1,29,13.87,40.35
120,36.5,-115.8,pahrump,us,56.91,1,25,16.11,36.21
121,22.41,-86.84,isla mujeres,mx,82.4,40,61,17.22,21.23
123,-11.28,-62.09,presidente medici,br,89.83,0,65,2.3,-11.18
127,16.46,-92.13,las margaritas,mx,83.17,0,36,0.18,16.32
129,64.33,123.27,kysyl-syr,ru,-24.2,24,36,2.98,63.9
130,-44.82,-67.09,comodoro rivadavia,ar,73.4,0,35,16.11,-45.87
131,35.6,-7.84,faro,pt,57.2,20,76,19.46,37.02
132,10.11,-84.1,cinco esquinas,cr,81.41,20,42,11.41,9.95
133,31.7,-106.18,socorro,us,55.29,1,28,6.93,31.65
135,48.42,-78.65,macamic,ca,32,20,78,10.29,48.75
136,-9.56,36.51,malinyi,tz,70.12,92,99,2.42,-8.94
137,25.77,-100.75,garcia,mx,66.52,0,45,7.56,30.64
138,23.72,101.61,simao,cn,51.94,0,84,3.65,22.76
139,32.01,-8.04,marrakesh,ma,55.9,0,70,12.82,31.63
140,-33.19,18.73,malmesbury,za,71.6,0,56,17.22,-33.46
142,25.87,-84.92,venice,us,80.82,1,78,11.41,27.1
143,35.88,16.73,pachino,it,64.4,92,52,5.82,36.72
144,56.66,31.41,toropets,ru,6.67,56,79,14.16,56.5
145,-30.93,145.15,griffith,au,57.75,20,84,3.42,-34.29
146,56.2,14.53,karlshamn,se,22.15,75,85,13.87,56.17
147,9.04,121.31,alim,ph,78.9,0,100,9.91,9.56
148,37.77,-115.04,sunrise manor,us,60.42,1,25,16.11,36.21
149,26.48,82.14,bikapur,in,67.47,0,66,3.31,26.66
150,-19.3,-41.76,conselheiro pena,br,87.9,64,48,3.2,-19.17
151,18.11,-77.38,mandeville,jm,84.2,20,66,17.22,18.04
152,0.13,133.53,manokwari,id,81.1,68,100,2.08,-0.87
153,-27.37,-43.22,ilhabela,br,78.94,20,100,10.47,-23.78
154,33.9,49.93,khomeyn,ir,22.15,0,81,3.65,33.64
155,6.76,6.92,idah,ng,81.06,20,73,5.44,7.11
156,-18.49,29.19,kadoma,zw,65.44,88,97,3.98,-18.34
157,49.4,-71.23,saint-ambroise,ca,28.99,90,74,9.17,48.56
158,60.33,128.03,mokhsogollokh,ru,-22.27,48,63,2.64,61.4
159,43.39,-7.44,foz,es,49.33,92,100,25.34,43.57
160,38.29,-25.34,rabo de peixe,pt,50,40,87,6.93,37.8
161,34.83,-129.09,half moon bay,us,53.62,90,87,14.99,37.46
163,2.24,-15.61,mattru,sl,80.61,32,55,6.11,7.62
164,-8.25,-85.3,sechura,pe,82.23,0,63,14.83,-5.56
165,-42.84,141.59,portland,au,56.98,64,89,3.31,-33.35
166,66.56,32.15,zelenoborskiy,ru,10.63,48,67,2.19,66.84
168,-15.92,32.27,mount darwin,zw,68.55,92,96,3.98,-16.77
169,45.99,-3.31,la baule-escoublac,fr,44.6,92,87,19.46,47.28
170,7.16,0.2,kpandu,gh,77.59,8,85,3.65,7
171,13.07,14.61,massaguet,td,89.6,0,11,6.93,12.48
172,45.12,45.09,zaterechnyy,ru,31.47,92,96,9.46,44.8
173,-3.61,105.21,palembang,id,74.4,76,97,2.75,-2.99
174,43.6,-64.51,liverpool,ca,40.24,76,91,9.13,44.04
176,38.12,68.99,yovon,tj,53.6,90,76,6.71,38.32
177,40.64,68.06,gagarin,uz,44.25,100,100,7.78,40.66
178,14.72,9.64,tanout,ne,71.38,0,18,7.9,14.97
179,34.37,134.37,shido,jp,39.97,0,79,12.48,34.32
180,-2.82,163.06,buala,sb,80.74,56,97,7.56,-8.15
182,16.32,-77.05,may pen,jm,84.2,20,70,18.34,17.97
183,-4.85,128.73,ambon,id,75.97,88,100,2.75,-3.7
184,-5.39,33.8,mgandu,tz,61.03,92,92,2.98,-5.96
185,13.38,-86.39,condega,ni,75.2,40,57,9.17,13.36
187,41.5,-109.26,rock springs,us,35.6,1,47,3.36,41.59
188,41.06,-3.46,algete,es,47.39,75,70,21.92,40.6
189,64.69,38.94,severodvinsk,ru,17.6,90,92,4.47,64.56
190,50.49,6.64,kall,de,27.79,40,33,24.16,50.54
191,17.16,66.87,mangrol,in,63.73,0,74,5.44,25.33
192,-13.11,-150.18,fare,pf,82.5,68,97,16.17,-16.7
193,-37.17,-61.3,olavarria,ar,85.78,20,45,3.76,-36.89
194,61.29,27.01,valkeala,fi,3.2,0,65,1.12,60.94
195,-5.13,31.9,kaliua,tz,65.4,92,93,2.08,-5.06
196,-32.43,161.11,port macquarie,au,64.4,100,88,5.82,-31.43
197,-1.34,118.1,loa janan,id,72.51,48,100,2.42,-0.58
198,53.29,105.9,bayanday,ru,-5.21,76,75,2.98,53.07
199,39.07,28.03,akhisar,tr,29.22,12,87,2.08,38.92
200,15.15,43.08,bajil,ye,71.02,32,93,3.42,15.06
201,17.53,132.24,alugan,ph,77.05,64,100,5.44,12.22
202,9.58,-82.46,changuinola,pa,72.55,88,100,2.75,9.44
203,21.83,-63.03,the valley,ai,79.66,20,57,10.29,18.22
204,-8.51,-72.36,porto walter,br,83.53,64,78,2.75,-8.27
205,23.8,132.54,gushikawa,jp,56.21,1,87,5.82,26.35
206,21.28,7.49,arlit,ne,70.35,0,22,5.88,18.74
207,-10.78,-25.51,olinda,br,84.79,0,66,14.99,-22.82
208,61.07,28.17,lappeenranta,fi,-2.21,0,84,1.12,61.06
211,47.8,-72.07,desbiens,ca,28.4,90,79,9.17,48.42
212,-40.28,174.93,wanganui,nz,68.23,92,88,6.78,-39.93
213,5.92,116.1,putatan,my,77,75,88,1.74,5.88
215,40.07,-105.86,boulder,us,46.99,1,39,4.7,40.02
216,65.98,12.8,sandnessjoen,no,15.76,0,57,12.75,66.02
217,40.26,36.97,niksar,tr,27.19,68,95,2.19,40.59
218,42.37,-104.31,torrington,us,51.8,1,29,17.22,42.06
219,23.49,93.97,mawlaik,mm,60.94,0,82,1.97,23.63
220,53.05,87.01,mundybash,ru,3.88,48,61,10.36,53.21
221,16.39,-101.46,petatlan,mx,86,5,62,11.41,17.52
222,57.55,91.43,rassvet,ru,8.43,76,74,10.58,49.11
223,-4.01,129.53,amahai,id,75.88,92,100,4.76,-3.31
224,18.4,-3.62,araouane,ml,79.53,0,36,2.75,18.9
225,38.73,146.14,yamada,jp,41,75,48,20.8,36.58
226,15.41,95.43,bogale,mm,70.57,56,100,8.46,16.29
227,12.19,78.56,harur,in,58.33,0,80,1.97,12.06
228,33.18,130.93,hita,jp,41.74,0,77,1.12,33.31
229,-21.49,18.42,gobabis,na,77,24,53,2.24,-22.45
230,36.27,30.13,kumluca,tr,26.47,8,85,1.63,36.37
231,6.38,76.38,manavalakurichi,in,82.4,20,78,3.36,8.13
232,35.1,78.01,leh,in,10.09,88,88,1.52,34.16
233,69.38,87.8,kayerkan,ru,-6.83,68,73,28.81,69.35
234,-7.38,40.19,kilindoni,tz,78.58,80,100,12.26,-7.91
235,-6.25,-30.56,cabedelo,br,80.6,75,74,6.93,-6.97
236,38.71,65.61,koson,uz,50,75,93,4.7,39.04
237,69.67,4.51,bud,no,20.62,0,44,10.29,62.91
238,64.63,-16.16,hofn,is,32,40,100,27.51,64.25
239,24.36,84.54,sherghati,in,64.27,8,70,5.21,24.57
241,64.54,80.26,urengoy,ru,-6.56,44,58,10.13,65.96
242,9.02,33.67,gambela,et,62.52,0,70,0.29,8.25
243,10.93,-59.66,scarborough,tt,75.2,75,88,5.82,11.18
244,-24.89,-56.39,yataity del norte,py,75.12,88,100,2.98,-24.85
245,3.63,-5.47,sassandra,ci,79.84,8,96,5.1,4.95
246,23.08,80.08,barela,in,65.53,0,58,2.98,23.1
247,8.79,-73.92,tamalameque,co,93.3,0,41,2.3,8.86
248,-24.78,23.34,khakhea,bw,72.82,44,42,8.23,-24.69
249,10.32,83.68,trincomalee,lk,74.8,0,92,5.55,8.58
251,-8.14,-67.16,pauini,br,95.55,8,41,4.09,-7.71
253,53.61,71.13,stepnyak,kz,-4.54,0,78,10.69,52.83
254,18.27,10.68,bilma,ne,63.73,0,31,2.75,18.69
255,65.86,33.76,loukhi,ru,8.83,20,73,2.19,66.08
256,63.25,25.13,nivala,fi,10.27,88,82,2.64,63.93
257,-11.03,155.17,gizo,sb,82.5,88,100,5.99,-8.1
258,51.98,160.66,petropavlovsk-kamchatskiy,ru,8.6,0,65,6.71,53.05
259,70.33,47.05,mezen,ru,11.13,8,72,4.99,65.85
262,48.55,112.79,kyra,ru,1,0,79,6.44,49.58
263,51.77,143.92,katangli,ru,20.35,92,95,16.84,51.71
264,9.11,-108.04,coahuayana,mx,87.4,0,24,2.98,18.62
265,39.41,-109.4,redlands,us,56.77,1,44,3.36,34.06
266,-4.2,114.62,martapura,id,76.11,92,100,2.19,-3.41
267,29.24,-92.69,abbeville,us,72.1,75,69,14.99,29.97
268,-6.58,13.36,matadi,cd,74.44,24,96,3.2,-5.83
269,-5.8,-76.37,yurimaguas,pe,82.77,68,77,2.53,-5.9
271,0.64,71.77,thinadhoo,mv,83.35,92,100,12.26,0.53
272,16.71,36.94,wagar,sd,66.75,0,14,10.58,16.15
273,-10.55,27.23,likasi,cd,63.64,76,100,3.65,-10.99
274,49.67,47.78,savinka,ru,0.33,12,76,14.27,50.08
276,34.28,-123.46,monterey,us,55.87,90,99,17.22,36.6
278,-6.07,151.01,kimbe,pg,78.27,88,100,1.07,-5.56
279,-0.41,24.6,kisangani,cd,71.29,44,100,3.2,0.52
280,-13.93,31.35,petauke,zm,67.02,100,98,1.86,-14.25
281,40.11,145.04,kushiro,jp,30.93,80,86,17.52,43.11
282,26.31,61.04,iranshahr,ir,66.2,75,68,2.64,27.21
283,31.22,37.72,turayf,sa,57.2,0,50,2.24,31.68
284,11.45,-3.01,dano,bf,83.4,44,29,7.34,11.14
286,29.23,-78.37,cape canaveral,us,86.38,1,45,14.99,28.41
287,69.07,30.74,zapolyarnyy,ru,23,75,92,5.82,69.43
288,58.4,170.34,tilichiki,ru,10.95,12,76,11.7,60.47
289,12.9,104.38,kampong thum,kh,76.87,8,88,8.57,12.71
290,53.98,111.92,sosnovo-ozerskoye,ru,-14.8,0,39,5.44,52.53
291,53.35,-66.56,sept-iles,ca,30.2,75,74,23.04,50.2
292,66.01,54.58,izhma,ru,20.08,68,70,8.01,65.01
293,-26.5,31.39,manzini,sz,64.4,0,93,1.12,-26.5
294,14.94,25.09,kutum,sd,69.22,0,25,10.69,14.2
295,-1.41,-64.19,maraa,br,96.27,12,43,4.76,-1.83
296,59.31,158.47,palana,ru,16.12,68,75,10.92,59.08
297,36.71,116.78,changqing,cn,41,92,86,8.95,31.81
298,16.51,84.98,yarada,in,79.75,0,100,7.45,17.65
299,13.68,-21.72,vila do maio,cv,69.8,20,73,16.11,15.13
300,-18.23,33.33,manica,mz,71.6,75,94,6.93,-18.94
301,57.33,134.31,chumikan,ru,-11.15,32,73,2.53,54.72
302,73.05,140.76,deputatskiy,ru,-18.26,80,49,3.87,69.3
303,48,2.19,pithiviers,fr,34.39,68,84,16.11,48.17
304,-0.16,43.3,jamame,so,78.27,8,86,8.46,0.07
305,17.4,100.57,nakhon thai,th,63.73,8,93,1.97,17.1
306,43.86,-111.33,rexburg,us,32,90,71,6.93,43.82
307,31.67,-107.98,puerto palomas,mx,55.4,1,26,12.75,31.77
309,67.95,30.01,kovdor,ru,21.21,92,95,4.21,67.56
310,-9.59,108.18,kawalu,id,67.33,64,98,1.97,-7.38
311,12.55,16.18,massakory,td,78.49,0,22,10.36,13
313,-22.15,169.75,tadine,nc,80.74,68,99,2.98,-21.55
314,-22.69,-37.74,guarapari,br,87.8,40,58,18.34,-20.67
315,20.87,-73.94,baracoa,cu,76.78,0,100,8.01,20.35
316,3.05,-13.92,robertsport,lr,76.69,32,100,7.23,6.75
317,-17.27,44.41,tsiroanomandidy,mg,63.78,80,100,2.75,-18.77
318,-6.34,-75.9,chazuta,pe,87.8,75,58,9.17,-6.57
319,58.58,54.69,siva,ru,1.32,48,71,7,56.42
320,35.11,40.6,abu kamal,sy,48.43,12,67,3.09,34.45
322,57.04,-76.67,moose factory,ca,10.4,1,85,9.17,51.26
323,-29.02,-70.67,vallenar,cl,71.65,0,60,2.64,-28.58
324,27.48,77.8,baldeo,in,69.81,32,52,2.75,27.42
325,61.35,124.08,berdigestyakh,ru,-20.15,48,57,2.98,62.1
326,26.19,55.05,bandar-e lengeh,ir,70.17,80,100,9.01,26.56
327,39.89,23.09,skala fourkas,gr,39.2,40,55,4.7,40
328,2.98,-82.84,muisne,ec,75.07,100,96,3.31,0.61
329,29.86,-104.2,ojinaga,mx,65.67,0,16,3.31,29.57
330,62.87,73.6,muravlenko,ru,0.51,44,73,11.7,63.79
331,39.54,15.87,cetraro,it,50.5,92,91,8.01,39.52
332,32.38,138.69,oyama,jp,44.6,20,30,18.34,36.31
333,38.2,-63.96,shelburne,ca,37.38,1,64,10.29,44.08
334,57.72,66.65,nizhnyaya tavda,ru,11.13,64,78,9.69,57.67
335,67.72,7.58,sistranda,no,24.8,0,53,18.34,63.73
336,28.53,47.92,bayan,kw,66.2,8,77,4.7,29.3
337,11.84,-71.81,uribia,co,88.98,0,40,15.39,11.71
338,55.48,34.24,novodugino,ru,6.49,80,79,11.36,55.63
339,36.23,1.34,sidi ali,dz,60.04,80,70,16.28,36.1
